id_site,code_presentation,code_module,activity_type
877162,2014J,AAA,content
877223,2014J,AAA,content
877032,2014J,AAA,content
877263,2014J,AAA,content
877064,2014J,AAA,content
877098,2014J,AAA,content
877157,2014J,AAA,content
877220,2014J,AAA,content
877029,2014J,AAA,glossary
877260,2014J,AAA,content
877061,2014J,AAA,content
1032910,2014J,AAA,url
877094,2014J,AAA,content
877154,2014J,AAA,content
877217,2014J,AAA,content
877025,2014J,AAA,forum
877256,2014J,AAA,content
877058,2014J,AAA,content
877091,2014J,AAA,content
877151,2014J,AAA,content
877214,2014J,AAA,content
877012,2014J,AAA,forum
877253,2014J,AAA,content
877055,2014J,AAA,content
877088,2014J,AAA,content
877148,2014J,AAA,content
877211,2014J,AAA,content
877247,2014J,AAA,content
877052,2014J,AAA,content
877402,2014J,AAA,url
877085,2014J,AAA,content
877145,2014J,AAA,content
877208,2014J,AAA,content
877244,2014J,AAA,content
877049,2014J,AAA,content
877397,2014J,AAA,url
877081,2014J,AAA,content
877142,2014J,AAA,content
877203,2014J,AAA,content
877241,2014J,AAA,content
877046,2014J,AAA,content
877394,2014J,AAA,url
877078,2014J,AAA,content
877197,2014J,AAA,content
877237,2014J,AAA,content
877043,2014J,AAA,content
877387,2014J,AAA,url
877075,2014J,AAA,content
877139,2014J,AAA,content
877190,2014J,AAA,content
877233,2014J,AAA,content
877040,2014J,AAA,content
877384,2014J,AAA,url
877072,2014J,AAA,content
877184,2014J,AAA,content
877229,2014J,AAA,content
877037,2014J,AAA,content
877380,2014J,AAA,forum
877069,2014J,AAA,content
877172,2014J,AAA,content
877225,2014J,AAA,content
877034,2014J,AAA,content
877265,2014J,AAA,content
877066,2014J,AAA,content
877100,2014J,AAA,content
877159,2014J,AAA,content
877222,2014J,AAA,content
877031,2014J,AAA,content
877262,2014J,AAA,content
877063,2014J,AAA,content
1072237,2014J,AAA,url
877096,2014J,AAA,content
877156,2014J,AAA,content
877219,2014J,AAA,content
877028,2014J,AAA,glossary
877259,2014J,AAA,content
877060,2014J,AAA,content
1027118,2014J,AAA,url
877093,2014J,AAA,content
877153,2014J,AAA,content
877216,2014J,AAA,content
877023,2014J,AAA,forum
877255,2014J,AAA,content
877057,2014J,AAA,content
877090,2014J,AAA,content
877150,2014J,AAA,content
877213,2014J,AAA,content
877011,2014J,AAA,forum
877252,2014J,AAA,content
877054,2014J,AAA,content
877404,2014J,AAA,url
877087,2014J,AAA,content
877147,2014J,AAA,content
877210,2014J,AAA,content
877246,2014J,AAA,content
877051,2014J,AAA,content
877399,2014J,AAA,url
877084,2014J,AAA,content
877144,2014J,AAA,content
877207,2014J,AAA,content
877243,2014J,AAA,content
877048,2014J,AAA,content
877396,2014J,AAA,url
877080,2014J,AAA,content
877141,2014J,AAA,content
877199,2014J,AAA,content
877240,2014J,AAA,content
877045,2014J,AAA,content
877393,2014J,AAA,url
877077,2014J,AAA,content
877196,2014J,AAA,content
877236,2014J,AAA,content
877042,2014J,AAA,content
877386,2014J,AAA,url
877074,2014J,AAA,content
877138,2014J,AAA,content
877187,2014J,AAA,content
877231,2014J,AAA,content
877039,2014J,AAA,content
877383,2014J,AAA,url
877071,2014J,AAA,content
877182,2014J,AAA,content
877228,2014J,AAA,content
877036,2014J,AAA,content
877379,2014J,AAA,forum
877068,2014J,AAA,content
877168,2014J,AAA,content
877224,2014J,AAA,content
877033,2014J,AAA,content
877264,2014J,AAA,content
877065,2014J,AAA,content
877099,2014J,AAA,content
877158,2014J,AAA,content
877221,2014J,AAA,content
877030,2014J,AAA,homepage
877261,2014J,AAA,content
877062,2014J,AAA,content
1072236,2014J,AAA,content
877095,2014J,AAA,content
877155,2014J,AAA,content
877218,2014J,AAA,content
877026,2014J,AAA,forum
877258,2014J,AAA,content
877059,2014J,AAA,content
1010323,2014J,AAA,content
877092,2014J,AAA,content
877152,2014J,AAA,content
877215,2014J,AAA,content
877015,2014J,AAA,forum
877254,2014J,AAA,content
877056,2014J,AAA,content
877089,2014J,AAA,content
877149,2014J,AAA,content
877212,2014J,AAA,content
877248,2014J,AAA,content
877053,2014J,AAA,content
877403,2014J,AAA,url
877086,2014J,AAA,content
877146,2014J,AAA,content
877209,2014J,AAA,content
877245,2014J,AAA,content
877050,2014J,AAA,content
877398,2014J,AAA,url
877082,2014J,AAA,content
877143,2014J,AAA,content
877206,2014J,AAA,content
877242,2014J,AAA,content
877047,2014J,AAA,content
877395,2014J,AAA,url
877079,2014J,AAA,content
877198,2014J,AAA,content
877238,2014J,AAA,content
877044,2014J,AAA,content
877392,2014J,AAA,url
877076,2014J,AAA,content
877140,2014J,AAA,content
877195,2014J,AAA,content
877234,2014J,AAA,content
877041,2014J,AAA,content
877385,2014J,AAA,url
877073,2014J,AAA,content
877137,2014J,AAA,content
877186,2014J,AAA,content
877230,2014J,AAA,content
877038,2014J,AAA,content
877381,2014J,AAA,url
877070,2014J,AAA,content
877180,2014J,AAA,content
877227,2014J,AAA,content
877035,2014J,AAA,content
877266,2014J,AAA,content
877067,2014J,AAA,content
